,val_loss,val_acc,loss,acc
0,1.0400693605455917,0.5344451062021829,1.225169003744889,0.4412268294084486
1,0.9275053390226881,0.6005558866888421,1.045282673954375,0.5253232090451699
2,0.8682440850075356,0.6389716100380348,0.9559375713305153,0.5742574257292627
3,0.8276985293583002,0.6646813578919946,0.9048712664971136,0.6083525646507612
4,0.7961683489155954,0.6804645621684281,0.8660053969488573,0.6317774635316267
5,0.7659303668427141,0.6961485010327529,0.8305355963947998,0.6526960966093002
6,0.7430062510083539,0.7070676989561986,0.8045377267800583,0.6627459738706488
7,0.7304497539630267,0.7079610881266766,0.780255561703331,0.6763691406143034
8,0.713750287514725,0.7132221559624315,0.7617856319327695,0.6845083004511474
9,0.6991407437671951,0.7176891008326524,0.7499059490753571,0.688776396359725
10,0.6903401839726023,0.7212626562602278,0.7359803316773557,0.6981810962282081
11,0.6844415721946324,0.721461187119945,0.7314028585145556,0.6987022011092929
12,0.6800128834243329,0.7230494340923492,0.7203607359826794,0.7044591677745295
13,0.6739487781490578,0.7252332736794049,0.7148057793165224,0.7041117644918778
14,0.6708729456454154,0.7255310702470648,0.7078910120270289,0.7090498523506983
15,0.6679017461550858,0.7277149098341205,0.6985236191773829,0.7108364971066418
16,0.6627413578182074,0.7300972800205595,0.6957930668050732,0.715476810799044
17,0.6610492428238486,0.7300972802927268,0.6927501356788964,0.7152534801864325
18,0.6593260336589643,0.7299980148569516,0.688423069701508,0.717040125136133
19,0.6547072248158768,0.7332737742375353,0.6836806416375462,0.7181071490208362
20,0.6541264530730574,0.7343656937588958,0.6778981256237686,0.7219285837677905
21,0.6503718156579801,0.7361524716028506,0.6759595778131074,0.7228467207504693
22,0.6517654434896685,0.7361524718750179,0.6729521028794184,0.7227722771789138
23,0.647859583304282,0.7375421879640381,0.672892496783685,0.72406263181526
24,0.6447708642456724,0.7386341077575661,0.6677738649398033,0.7265192685214463
